weight,a,b,count
2,x1,x2,1
2,x1,x5,1
2,x2,x1,1
2,x2,x3,1
3,x1,x2,2
3,x1,x5,1
3,x2,x1,2
3,x2,x3,1
3,x3,x2,1
3,x5,x1,1
4,x1,x2,6
4,x1,x5,4
4,x2,x1,6
4,x2,x3,4
4,x3,x2,2
4,x5,x1,2
5,x1,x2,8
5,x1,x5,4
5,x2,x1,8
5,x2,x3,4
5,x3,x2,4
5,x5,x1,4
6,x1,x2,20
6,x1,x5,12
6,x2,x1,20
6,x2,x3,12
6,x3,x2,8
6,x5,x1,8
7,x1,x2,24
7,x1,x5,12
7,x2,x1,24
7,x2,x3,12
7,x3,x2,12
7,x5,x1,12
8,x1,x2,56
8,x1,x5,32
8,x2,x1,56
8,x2,x3,32
8,x3,x2,24
8,x5,x1,24
9,x1,x2,64
9,x1,x5,32
9,x2,x1,64
9,x2,x3,32
9,x3,x2,32
9,x5,x1,32
10,x1,x2,144
10,x1,x5,80
10,x2,x1,144
10,x2,x3,80
10,x3,x2,64
10,x5,x1,64
11,x1,x2,160
11,x1,x5,80
11,x2,x1,160
11,x2,x3,80
11,x3,x2,80
11,x5,x1,80
12,x1,x2,352
12,x1,x5,192
12,x2,x1,352
12,x2,x3,192
12,x3,x2,160
12,x5,x1,160
