expr,iters,node_limit,symbol_fuel,ast_size,fp_kind,out_expr
"(+ (* x y) (* x z))",3,2000,0,5,"Unknown(BudgetExhausted)","(* (+ y z) x)"
"(+ (* x y) (* x z))",3,2000,20,5,"ByWeight([])","(* (+ y z) x)"
"(+ (* x y) (* x z))",3,2000,100,5,"ByWeight([])","(* (+ y z) x)"
"(+ (* x y) (* x z))",3,2000,1000,5,"ByWeight([])","(* (+ y z) x)"
"(+ (* x y) (* x z))",3,10000,0,5,"Unknown(BudgetExhausted)","(* (+ y z) x)"
"(+ (* x y) (* x z))",3,10000,20,5,"ByWeight([])","(* (+ y z) x)"
"(+ (* x y) (* x z))",3,10000,100,5,"ByWeight([])","(* (+ y z) x)"
"(+ (* x y) (* x z))",3,10000,1000,5,"ByWeight([])","(* (+ y z) x)"
"(+ (* x y) (* x z))",10,2000,0,5,"Unknown(BudgetExhausted)","(* (+ y z) x)"
"(+ (* x y) (* x z))",10,2000,20,5,"ByWeight([])","(* (+ y z) x)"
"(+ (* x y) (* x z))",10,2000,100,5,"ByWeight([])","(* (+ y z) x)"
"(+ (* x y) (* x z))",10,2000,1000,5,"ByWeight([])","(* (+ y z) x)"
"(+ (* x y) (* x z))",10,10000,0,5,"Unknown(BudgetExhausted)","(* (+ y z) x)"
"(+ (* x y) (* x z))",10,10000,20,5,"ByWeight([])","(* (+ y z) x)"
"(+ (* x y) (* x z))",10,10000,100,5,"ByWeight([])","(* (+ y z) x)"
"(+ (* x y) (* x z))",10,10000,1000,5,"ByWeight([])","(* (+ y z) x)"
"(+ (+ x y) z)",3,2000,0,4,"Unknown(BudgetExhausted)","(+ x y z)"
"(+ (+ x y) z)",3,2000,20,4,"ByWeight([])","(+ x y z)"
"(+ (+ x y) z)",3,2000,100,4,"ByWeight([])","(+ x y z)"
"(+ (+ x y) z)",3,2000,1000,4,"ByWeight([])","(+ x y z)"
"(+ (+ x y) z)",3,10000,0,4,"Unknown(BudgetExhausted)","(+ x y z)"
"(+ (+ x y) z)",3,10000,20,4,"ByWeight([])","(+ x y z)"
"(+ (+ x y) z)",3,10000,100,4,"ByWeight([])","(+ x y z)"
"(+ (+ x y) z)",3,10000,1000,4,"ByWeight([])","(+ x y z)"
"(+ (+ x y) z)",10,2000,0,4,"Unknown(BudgetExhausted)","(+ x y z)"
"(+ (+ x y) z)",10,2000,20,4,"ByWeight([])","(+ x y z)"
"(+ (+ x y) z)",10,2000,100,4,"ByWeight([])","(+ x y z)"
"(+ (+ x y) z)",10,2000,1000,4,"ByWeight([])","(+ x y z)"
"(+ (+ x y) z)",10,10000,0,4,"Unknown(BudgetExhausted)","(+ x y z)"
"(+ (+ x y) z)",10,10000,20,4,"ByWeight([])","(+ x y z)"
"(+ (+ x y) z)",10,10000,100,4,"ByWeight([])","(+ x y z)"
"(+ (+ x y) z)",10,10000,1000,4,"ByWeight([])","(+ x y z)"
"(* (* x y) z)",3,2000,0,4,"Unknown(BudgetExhausted)","(* x y z)"
"(* (* x y) z)",3,2000,20,4,"ByWeight([])","(* x y z)"
"(* (* x y) z)",3,2000,100,4,"ByWeight([])","(* x y z)"
"(* (* x y) z)",3,2000,1000,4,"ByWeight([])","(* x y z)"
"(* (* x y) z)",3,10000,0,4,"Unknown(BudgetExhausted)","(* x y z)"
"(* (* x y) z)",3,10000,20,4,"ByWeight([])","(* x y z)"
"(* (* x y) z)",3,10000,100,4,"ByWeight([])","(* x y z)"
"(* (* x y) z)",3,10000,1000,4,"ByWeight([])","(* x y z)"
"(* (* x y) z)",10,2000,0,4,"Unknown(BudgetExhausted)","(* x y z)"
"(* (* x y) z)",10,2000,20,4,"ByWeight([])","(* x y z)"
"(* (* x y) z)",10,2000,100,4,"ByWeight([])","(* x y z)"
"(* (* x y) z)",10,2000,1000,4,"ByWeight([])","(* x y z)"
"(* (* x y) z)",10,10000,0,4,"Unknown(BudgetExhausted)","(* x y z)"
"(* (* x y) z)",10,10000,20,4,"ByWeight([])","(* x y z)"
"(* (* x y) z)",10,10000,100,4,"ByWeight([])","(* x y z)"
"(* (* x y) z)",10,10000,1000,4,"ByWeight([])","(* x y z)"
"(li2 x)",3,2000,0,2,"Unknown(BudgetExhausted)","(li2 x)"
"(li2 x)",3,2000,20,2,"ByWeight([2])","(li2 x)"
"(li2 x)",3,2000,100,2,"ByWeight([2])","(li2 x)"
"(li2 x)",3,2000,1000,2,"ByWeight([2])","(li2 x)"
"(li2 x)",3,10000,0,2,"Unknown(BudgetExhausted)","(li2 x)"
"(li2 x)",3,10000,20,2,"ByWeight([2])","(li2 x)"
"(li2 x)",3,10000,100,2,"ByWeight([2])","(li2 x)"
"(li2 x)",3,10000,1000,2,"ByWeight([2])","(li2 x)"
"(li2 x)",10,2000,0,2,"Unknown(BudgetExhausted)","(li2 x)"
"(li2 x)",10,2000,20,2,"ByWeight([2])","(li2 x)"
"(li2 x)",10,2000,100,2,"ByWeight([2])","(li2 x)"
"(li2 x)",10,2000,1000,2,"ByWeight([2])","(li2 x)"
"(li2 x)",10,10000,0,2,"Unknown(BudgetExhausted)","(li2 x)"
"(li2 x)",10,10000,20,2,"ByWeight([2])","(li2 x)"
"(li2 x)",10,10000,100,2,"ByWeight([2])","(li2 x)"
"(li2 x)",10,10000,1000,2,"ByWeight([2])","(li2 x)"
"(* (log x) (log y))",3,2000,0,5,"Unknown(BudgetExhausted)","(* (log x) (log y))"
"(* (log x) (log y))",3,2000,20,5,"ByWeight([2])","(* (log x) (log y))"
"(* (log x) (log y))",3,2000,100,5,"ByWeight([2])","(* (log x) (log y))"
"(* (log x) (log y))",3,2000,1000,5,"ByWeight([2])","(* (log x) (log y))"
"(* (log x) (log y))",3,10000,0,5,"Unknown(BudgetExhausted)","(* (log x) (log y))"
"(* (log x) (log y))",3,10000,20,5,"ByWeight([2])","(* (log x) (log y))"
